,Name,RA,DEC,,Visible ,,,
, NGC 104       ,  00 24 05.67  -,  -72 04 52.6   ,,, AM 1 ,  03 55 02.3   -4,-49 36 55     
, NGC 288       ,  00 52 45.24  -,  -26 34 57.4   ,,, Eridanus       ,  04 24 44.5   -2,-21 11 13     
, NGC 362       ,  01 03 14.26  -,  -70 50 55.6   ,,, NGC 1904   ,     05 24 11.09 ,      -24 31 29.0
, Whiting 1     ,  02 02 57        -,  -03 15 10     ,,, NGC 2298     ,     06 48 59.41,      -36 00 19.1
, NGC 1261     ,  03 12 16.21  -,  -55 12 58.4   ,,, Rup 106        ,     12 38 40.2   ,     -51 09 01     
, Pal 1              ,  03 33 20.04  +,  +79 34 51.8  ,,, NGC 5139,     13 26 47.24 ,      -47 28 46.5
, AM 1 ,  03 55 02.3   -4,-49 36 55     ,,, NGC 5286     ,     13 46 26.81,      -51 22 27.3
, Eridanus       ,  04 24 44.5   -2,-21 11 13     ,,, AM 4             ,     13 56 21.7   ,     -27 10 03     
, Pal 2              ,  04 46 05.91  +,  +31 22 53.4  ,,, NGC 5634     ,     14 29 37.23,      -05 58 35.1
, NGC 1851     ,     05 14 06.76 ,      -40 02 47.6,,, NGC 5694     ,     14 39 36.29,      -26 32 20.2
, NGC 1904   ,     05 24 11.09 ,      -24 31 29.0,,, NGC 5824     ,     15 03 58.63,      -33 04 05.6
, NGC 2298     ,     06 48 59.41,      -36 00 19.1,,, Pal 5              ,     15 16 05.25,      -00 06 41.8
, Rup 106        ,     12 38 40.2   ,     -51 09 01     ,,, NGC 5897     ,     15 17 24.50,     -21 00 37.0
, NGC 4590   ,     12 39 27.98,      -26 44 38.6,,, NGC 5904,     15 18 33.22 ,     +02 04 51.7
, NGC 4833     ,     12 59 33.92 ,      -70 52 35.4,,,,,
, NGC 5024   ,     13 12 55.25 ,      +18 10 05.4,,,My 10,,
, NGC 5053     ,     13 16 27.09 ,      +17 42 00.9,,, AM 1 ,  03 55 02.3   -4,-49 36 55     
, NGC 5139,     13 26 47.24 ,      -47 28 46.5,,, Eridanus       ,  04 24 44.5   -2,-21 11 13     
, NGC 5272   ,     13 42 11.62,      +28 22 38.2,,, NGC 1904   ,     05 24 11.09 ,      -24 31 29.0
, NGC 5286     ,     13 46 26.81,      -51 22 27.3,,, NGC 2298     ,     06 48 59.41,      -36 00 19.1
, AM 4             ,     13 56 21.7   ,     -27 10 03     ,,, Rup 106        ,     12 38 40.2   ,     -51 09 01     
, NGC 5466     ,     14 05 27.29,      +28 32 04.0,,, NGC 5139,     13 26 47.24 ,      -47 28 46.5
, NGC 5634     ,     14 29 37.23,      -05 58 35.1,,, NGC 5286     ,     13 46 26.81,      -51 22 27.3
, NGC 5694     ,     14 39 36.29,      -26 32 20.2,,, AM 4             ,     13 56 21.7   ,     -27 10 03     
, IC 4499         ,     15 00 18.45,      -82 12 49.3,,, NGC 5634     ,     14 29 37.23,      -05 58 35.1
, NGC 5824     ,     15 03 58.63,      -33 04 05.6,,, NGC 5694     ,     14 39 36.29,      -26 32 20.2
, Pal 5              ,     15 16 05.25,      -00 06 41.8,,,,,
, NGC 5897     ,     15 17 24.50,     -21 00 37.0,,,,,
, NGC 5904,     15 18 33.22 ,     +02 04 51.7,,,,,
